id,"cod_jud","denumire_uat","nr_sv","sediu",lat,long,"adresa"
8979,"GL","Slobozia Conachi","GL393","Centrul de Formare Profesionala",45.5878633100,27.7758132000,"UAT: SLOBOZIA CONACHI, Localitate: SLOBOZIA CONACHI"
8980,"GL","Smârdan","GL396","Şcoala generală Sfânta Cuvioasă Parascheva Smârdan",45.4747560700,27.9430558600,"UAT: SMÂRDAN, Localitate: SMÂRDAN"
8981,"GL","Cişmele","GL398","Scoala primară nr.1 Cişmele",45.5146922500,27.9288914400,"UAT: SMÂRDAN, Localitate: CIŞMELE"
8982,"GL","Mihail Kogălniceanu","GL397","Scoala gimnazială Mihail şi Gavril M.Kogălniceanu",45.5033052400,27.9295577700,"UAT: SMÂRDAN, Localitate: MIHAIL KOGĂLNICEANU"
8983,"GL","Smulţi","GL399","GRADINITA SMULTI",45.9325730200,27.7543597000,"UAT: SMULŢI, Localitate: SMULŢI"
8984,"GL","Suceveni","GL400","Căminul Cultural Suceveni",46.0124620900,28.0199834300,"UAT: SUCEVENI, Localitate: SUCEVENI"
8985,"GL","Rogojeni","GL401","Scoala gimnazială Rogojeni",45.9784332200,28.0922691900,"UAT: SUCEVENI, Localitate: ROGOJENI"
8986,"GL","Suhurlui","GL402","Scoala gimnazială nr.1 Suhurlui",45.7232777300,27.8272755600,"UAT: SUHURLUI, Localitate: SUHURLUI"
8987,"GL","ŞEndreni","GL403","Scoala Gimnaziala nr. 1",45.4115807000,27.9222614400,"UAT: ŞENDRENI, Localitate: ŞENDRENI"
8988,"GL","ŞEndreni","GL404","Scoala Gimnaziala nr. 1",45.4115807000,27.9222614400,"UAT: ŞENDRENI, Localitate: ŞENDRENI"
8989,"GL","Movileni","GL405","Gradinita Movileni",45.4064552900,27.9605600500,"UAT: ŞENDRENI, Localitate: MOVILENI"
8990,"GL","ŞErbeştii Vechi","GL406","Gradinita Serbestii Vechi",45.4215452300,27.8762128900,"UAT: ŞENDRENI, Localitate: ŞERBEŞTII VECHI"
8991,"GL","Tudor Vladimirescu","GL407","Şcoala gimnazială nr. 1(Şcoala generala de 8 claseTudor Vladimirescu Moară)",45.5587206000,27.6580352100,"UAT: TUDOR VLADIMIRESCU, Localitate: TUDOR VLADIMIRESCU, Artera: Strada Principală, Nr: 840"
8992,"GL","Tudor Vladimirescu","GL408","Grădiniţa Tudor Vladimirescu,",45.5671543700,27.6491951400,"UAT: TUDOR VLADIMIRESCU, Localitate: TUDOR VLADIMIRESCU"
8993,"GL","Tudor Vladimirescu","GL409","Scoala generala de 4 ani - Prival",45.5645300000,27.6448459100,"UAT: TUDOR VLADIMIRESCU, Localitate: TUDOR VLADIMIRESCU"
8994,"GL","Tudor Vladimirescu","GL410","Liceul Tehnologic Tudor Vladimirescu",45.5655435500,27.6373034500,"UAT: TUDOR VLADIMIRESCU, Localitate: TUDOR VLADIMIRESCU"
8995,"GL","Tuluceşti","GL411","GRADINITA TULUCESTI",45.5687337000,28.0473774100,"UAT: TULUCEŞTI, Localitate: TULUCEŞTI"
8996,"GL","Tuluceşti","GL412","SCOALA TULUCESTI",45.5689032000,28.0465739100,"UAT: TULUCEŞTI, Localitate: TULUCEŞTI"
8997,"GL","ŞIviţa","GL414","SCOALA SIVITA",45.6124408500,28.0535606300,"UAT: TULUCEŞTI, Localitate: ŞIVIŢA"
8998,"PH","Vălenii De Munte","PH283","ȘCOALA PRIMARĂ NR.4 (MIULEȘTI)",45.1992057600,26.0448091400,"UAT: ORAŞ VĂLENII DE MUNTE, Localitate: VĂLENII DE MUNTE, Artera: Bulevardul Nicolae Iorga, Nr: 188"
8999,"PH","Vălenii De Munte","PH284","ȘCOALA PRIMARĂ NR.2 (VALEA GARDULUI)",45.1787978300,26.0641796900,"UAT: ORAŞ VĂLENII DE MUNTE, Localitate: VĂLENII DE MUNTE, Artera: Strada Dr. Istrate, Nr: 2"
9000,"PH","Albeşti-Paleologu","PH287","SCOALA GIMNAZIALA CLASELE I-VIII ALBESTI PALEOLOGU",44.9533766400,26.2287436300,"UAT: ALBEŞTI-PALEOLOGU, Localitate: ALBEŞTI-PALEOLOGU"
9001,"PH","Albeşti-Muru","PH289","SCOALA GIMNAZIALA CU CLASELE I-IV SAT ALBESTI MURU",44.9448955400,26.2079973400,"UAT: ALBEŞTI-PALEOLOGU, Localitate: ALBEŞTI-MURU"
9002,"PH","Cioceni","PH290","SCOALA GIMNAZIALA CU CLASELE I-VIII CIOCENI",44.9066793400,26.2809558400,"UAT: ALBEŞTI-PALEOLOGU, Localitate: CIOCENI"
9003,"PH","Vadu Părului","PH288","SCOALA GIMNAZIALA CLASELE I-VIII SAT VADU PĂRULUI",44.9326899100,26.2075109200,"UAT: ALBEŞTI-PALEOLOGU, Localitate: VADU PĂRULUI"
9004,"PH","Ariceştii Rahtivani","PH296","ȘCOALA GIMNAZIALĂ COMUNA ARICEȘTII RAHTIVANI NR. 96A",44.9449432800,25.8387123800,"UAT: ARICEŞTII RAHTIVANI, Localitate: ARICEŞTII RAHTIVANI"
9005,"PH","Ariceştii Rahtivani","PH297","CĂMINUL CULTURAL ARICEȘTII RAHTIVANI, NR. 527A",44.9528461600,25.8277789200,"UAT: ARICEŞTII RAHTIVANI, Localitate: ARICEŞTII RAHTIVANI"
9006,"PH","Buda","PH302","GRĂDINIȚA CU PROGRAM NORMAL BUDA NR. 46 A",44.9647452100,25.9193367800,"UAT: ARICEŞTII RAHTIVANI, Localitate: BUDA"
9007,"PH","Nedelea","PH298","GRĂDINIȚA CU PROGRAM NORMAL NEDELEA NR. 47A",44.9734885300,25.8130417000,"UAT: ARICEŞTII RAHTIVANI, Localitate: NEDELEA"
9008,"PH","Nedelea","PH299","ȘCOALA GIMNAZIALĂ SAT NEDELEA, COMUNA ARICEȘTII RAHTIVANI, NR. 491",44.9737625100,25.8137307900,"UAT: ARICEŞTII RAHTIVANI, Localitate: NEDELEA"
9009,"PH","Rotari","PH366","Scoala cu clasele I - VIII Rotari",45.0549744800,26.2932638800,"UAT: CEPTURA, Localitate: ROTARI"
9010,"PH","ŞOimeşti","PH365","Gradinita de Copii Soimesti",45.0402932600,26.3093247500,"UAT: CEPTURA, Localitate: ŞOIMEŞTI"
